Title,Author,Publication_Date,Genres,Summary,image
Animal Farm,George Orwell,1945-08-17,"['Roman u00e0 clef', 'Satire', 'Childrens literature', 'Speculative fiction', 'Fiction']"," Old Major, the old boar on the Manor Farm, calls the animals on the farm for a meeting, where he compares the humans to parasites and teaches the animals a revolutionary song, 'Beasts of England'. When Major dies, two young pigs, Snowball and Napoleon, assume command and turn his dream into a philosophy. The animals revolt and drive the drunken and irresponsible Mr Jones from the farm, renaming it ""Animal Farm"". They adopt Seven Commandments of Animal-ism",<PIL.Image.Image image mode=RGB size=512x512 at 0x79018A7459F0>
A Clockwork Orange,Anthony Burgess,1962,"['Science Fiction', 'Novella', 'Speculative fiction', 'Utopian and dystopian fiction', 'Satire', 'Fiction']"," Alex, a teenager living in near-future England, leads his gang on nightly orgies of opportunistic, random ""ultra-violence."" Alex's friends (""droogs"" in the novel's Anglo-Russian slang, Nadsat) are: Dim, a slow-witted bruiser who is the gang's muscle; Georgie, an ambitious second-in-command; and Pete, who mostly plays along as the droogs indulge their taste for ultra-violence.",<PIL.Image.Image image mode=RGB size=512x512 at 0x79018A7455A0>
The Plague,Albert Camus,1947,"['Existentialism', 'Fiction', 'Absurdist fiction', 'Novel']"," The text of The Plague is divided into five parts. In the town of Oran, thousands of rats, initially unnoticed by the populace, begin to die in the streets. A hysteria develops soon afterward, causing the local newspapers to report the incident. Authorities responding to public pressure order the collection and cremation of the rats, unaware that the collection itself was the catalyst for the spread of the bubonic plague. The main character, Dr. Bernard Rieux, lives comfortably in an",<PIL.Image.Image image mode=RGB size=512x512 at 0x79018A7458D0>
All Quiet on the Western Front,Erich Maria Remarque,1929-01-29,"['War novel', 'Roman u00e0 clef']"," The book tells the story of Paul Bäumer, a German soldier who—urged on by his school teacher—joins the German army shortly after the start of World War I. Bäuer arrives at the Western Front with his friends and schoolmates (Tjaden, Müller, Kropp and a number of other characters). There they meet Stanislaus Katczinsky, an older soldier, nicknamed Kat, who becomes Paul's mentor. While fighting at the front",<PIL.Image.Image image mode=RGB size=512x512 at 0x79018A744E20>
A Wizard of Earthsea,Ursula K. Le Guin,1968,"['Childrens literature', 'Fantasy', 'Speculative fiction', 'Bildungsroman', 'Fiction']"," Ged is a young boy on Gont, one of the larger islands in the north of the archipelago of Earthsea. His mother is dead, his much older siblings have all left home, and his father is a dour, taciturn bronzesmith with nothing in common with his son, so the boy grows up wild and headstrong. Ged discovers by accident that he has an extraordinary talent for magic. His aunt, the village witch, teaches him the little",<PIL.Image.Image image mode=RGB size=512x512 at 0x79018A745570>
Blade Runner 3: Replicant Night,K. W. Jeter,1996-10-01,"['Science Fiction', 'Speculative fiction']","Living on Mars, Deckard is acting as a consultant to a movie crew filming the story of his Blade Runner days. He finds himself drawn into a mission on behalf of the replicants he was once assigned to kill. Meanwhile, the mystery surrounding the beginnings of the Tyrell Corporation is being dragged out into the light.",<PIL.Image.Image image mode=RGB size=512x512 at 0x79018A7451E0>
Blade Runner 2: The Edge of Human,K. W. Jeter,1995-10-01,"['Science Fiction', 'Speculative fiction']","In the first episode of Blade Runner, the story begins several months after the events in Blade Runner. Deckard has retired to an isolated shack outside the city, taking the replicant Rachael with him in a Tyrell transport container, which slows down the replicanant aging process. He is approached by a woman who explains she is Sarah Tyrell, niece of Eldon Tyrell and heiress to the entire Tyrell Corporation and the human template (templant)",<PIL.Image.Image image mode=RGB size=512x512 at 0x79018A745870>
Crash,J. G. Ballard,1973,"['Speculative fiction', 'Fiction', 'Novel']","The story is told through the eyes of narrator James Ballard, named after the author himself, but it centers on the sinister figure of Dr. Robert Vaughan, a “former TV-scientist, turned nightmare angel of the expressways”. Ballard meets Vaughan after being involved in a car accident himself near London Airport. Gathering around Vaughan is a group of alienated people, all of them former crash-victims, who follow him in his pursuit to re-enact the crashes",<PIL.Image.Image image mode=RGB size=512x512 at 0x79018A745FC0>
Children of Dune,Frank Herbert,1976,"['Science Fiction', 'Speculative fiction', 'Childrens literature', 'Fiction']"," Nine years after Emperor Paul Muad'dib walked into the desert, blind, the ecological transformation of Dune has reached the point where some Fremen are living without still being able to see the planet. The desert has become more arid and the desert is becoming more populated. The Fremen have begun to live in the less arid climate and have started to move out of the Sietches and into the villages and cities. As the old ways erode, more and more",<PIL.Image.Image image mode=RGB size=512x512 at 0x79018A745D50>
"Candide, ou l'Optimisme",Voltaire,1759-01,"['Satire', 'Bildungsroman', 'Picaresque novel']"," Candide contains thirty episodic chapters, which may be grouped into two main schemes: one consists of two divisions, separated by the protagonist's hiatus in El Dorado; the other consists of three parts, each defined by its geographical setting. By the former scheme, the first half of Candide constitutes the rising action and the last part the resolution. This view is supported by the strong theme of travel and quest, reminiscent of adventure and picaresque novels, which tend to employ such",<PIL.Image.Image image mode=RGB size=512x512 at 0x79018A745E10>
Chapterhouse Dune,Frank Herbert,1985-04,"['Science Fiction', 'Speculative fiction', 'Childrens literature', 'Fiction']"," The situation is desperate for the Bene Gesserit as they find themselves the targets of the Honored Matres, whose conquest of the Old Empire is almost complete. The Matres are seeking to assimilate the technology and developed methods of the Bene Girls, and to exterminate the Sisterhood itself. Now in command of the Higher High Priestess, Mother Superior Darwi Odrade continues to develop her drastic, secret plan to overcome the Honoring Matres. The Bene G",<PIL.Image.Image image mode=RGB size=512x512 at 0x7901901369B0>
Carmilla,Sheridan Le Fanu,1872,['Gothic fiction'],"The story is presented by Le Fanu as part of the casebook of Dr Hesselius, whose departures from medical orthodoxy rank him as the first occult doctor in literature. The story is narrated by Laura, one of the two main protagonists of the tale. Laura begins her tale by relating her childhood in a ""picturesque and solitary"" castle in the midst of an extensive forest in Styria where she lives with her father, a wealthy English widower, retired from the Austrian",<PIL.Image.Image image mode=RGB size=512x512 at 0x790190136980>
The Cider House Rules,John Irving,1985,['Fiction']," Homer Wells grows up in an orphanage where he spends his childhood ""being of use"" as a medical assistant to the director, Dr. Wilbur Larch, whose history is told in flashbacks: After a traumatic misadventure with a prostitute as a young man, Wilbur turns his back on sex and love, choosing instead to help women with unwanted pregnancies give birth and then keeping the babies in an empty orphanage. He makes a point of maintaining an emotional distance from the orphans",<PIL.Image.Image image mode=RGB size=512x512 at 0x790190136DD0>
Dracula,Bram Stoker,1897,"['Science Fiction', 'Speculative fiction', 'Horror', 'Invasion literature', 'Mystery', 'Epistolary novel', 'Fantasy', 'Fiction', 'Gothic fiction']"," The novel is told in epistolary format, as a series of letters, diary entries, ships' log entries, and so forth. The main writers of these items are also the novel's protagonists. The story is occasionally supplemented with newspaper clippings that relate events not directly witnessed by the story's characters. The tale begins with Jonathan Harker, a newly qualified English solicitor, journeying by train and carriage from England to Count Dracula's crumbling, remote castle (sit",<PIL.Image.Image image mode=RGB size=512x512 at 0x790190137730>
Don Quixote,Miguel de Cervantes,1605,"['Parody', 'Childrens literature', 'Psychological novel', 'Satire', 'Farce', 'Picaresque novel', 'Fiction']"," The First Sally Alonso Quijano, the protagonist of the novel, is a retired country gentleman nearing fifty years of age, living in an unnamed section of La Mancha with his niece and housekeeper. While mostly a rational man of sound reason, his reading of books of chivalry in excess has had a profound effect on him, leading to the distortion of his perception and the wavering of his mental faculties. In essence, he believes every word of these books of Chivalry",<PIL.Image.Image image mode=RGB size=512x512 at 0x790190136AD0>
Dune Messiah,Frank Herbert,1969,"['Science Fiction', 'Speculative fiction', 'Childrens literature', 'Fiction', 'Novel']"," Twelve years after the events described in Dune (1965), Paul ""Muad'Dib"" Atreides rules as Emperor. By accepting the role of messiah to the Fremen, Paul had unleashed a jihad which conquered most of the known universe. While Paul is the most powerful Emperor ever known, he is powerless to stop the lethal excesses of the religious juggernaut he has created. Although sixty-one billion people have perished, Paul's prescient visions indicate that this",<PIL.Image.Image image mode=RGB size=512x512 at 0x7901901377C0>
Darwin's Dangerous Idea,Daniel Dennett,1995,"['Philosophy', 'Science']"," ""Starting in the Middle"", Part I of Darwin's Dangerous Idea, gets its name from a quote by Willard Van Orman Quine: ""Analyze theory-building how we will, we all must start in the middle. Our conceptual firsts are middle-sized, middle-distance objects, and our introduction to them and to everything comes midway in the cultural evolution of the race."" The first chapter ""Tell Me Why"" is named after a song. Before Charles Darwin,",<PIL.Image.Image image mode=RGB size=512x512 at 0x7901901369E0>
The Trial,Franz Kafka,1925,"['Fiction', 'Absurdist fiction', 'Novel']"," On his thirtieth birthday, the chief financial officer of a bank, Josef K., is unexpectedly arrested by two unidentified agents from an unspecified agency for an unspecified crime. The agents' boss later arrives and holds a mini tribunal in the room of K.'s neighbor, Fräulein Bürstner. K. is not taken away, however, but left ""free"" to await instructions from the Committee of Affairs. He goes to work, and that night apologizes",<PIL.Image.Image image mode=RGB size=512x512 at 0x7901901376D0>
Fahrenheit 451,Ray Bradbury,1953,"['Science Fiction', 'Childrens literature', 'Speculative fiction', 'Utopian and dystopian fiction', 'Fiction', 'Dystopia']"," On a rainy night while returning from his job, Guy Montag is followed by a cheery, 17-year-old girl named Clarisse McClellan. Clarisse initially bothers Montag with her incessant questions (and Clarisse is a bit bothered by Montag's uncalled-for reactions, such as laughing when she hasn't said anything funny), but Montag chooses to tolerate her as she tells him of how she loves nature and walking around and observing how crazy the",<PIL.Image.Image image mode=RGB size=512x512 at 0x7901901368F0>
Gaudy Night,Dorothy L. Sayers,1935,"['Mystery', 'Detective fiction', 'Novel', 'Fiction', 'Suspense']"," Harriet Vane returns reluctantly to Oxford to attend the Gaudy dinner. Expecting hostility because of her notoriety, she is surprised to be welcomed warmly by the dons, and rediscovers her old love of the academic life. Some time later the Warden of Shrewsbury writes to ask for help. There has been an outbreak of anonymous letters, vandalism and threats, apparently from someone within the college, and a scandal is feared. Harriet, herself a victim of poison",<PIL.Image.Image image mode=RGB size=512x512 at 0x790190136B30>
God Emperor of Dune,Frank Herbert,1981-05-28,"['Science Fiction', 'Speculative fiction', 'Childrens literature', 'Fiction']"," The seemingly immortal God Emperor Leto II has ruled his Empire for more than 3,500 years, his lifespan lengthened due to his decision in Children of Dune to merge his human body with sandtrout, the haploid phase of the giant sandworms of Arrakis. His continued evolution has slowly transformed him, altering his human form into what he calls a ""pre-worm."" His body has come to resemble a small version of the ancient sandworms from Arrak",<PIL.Image.Image image mode=RGB size=512x512 at 0x790190137370>
Gone with the Wind,Margaret Mitchell,1936-06-30,"['Historical fiction', 'Fiction', 'Novel']"," Gone with the Wind takes place in the southern United States in the state of Georgia during the American Civil War (1861–1865) and the Reconstruction Era (1865–1877) that followed the war. The novel unfolds against the backdrop of rebellion wherein seven southern states, Georgia among them, have declared their secession from the United States (the ""Union"") and formed the Confederate States of America (the""Confederacy""), after Abraham Lincoln was elected president with no ballots",<PIL.Image.Image image mode=RGB size=512x512 at 0x790190136E60>
Heart of Darkness,Joseph Conrad,1899,"['Fiction', 'Novella', 'Roman u00e0 clef']"," 'Heart of Darkness' opens in first person narrative; our narrator establishes the setting aboard a sailboat, ""The Nellie, a cruising yawl,"" anchored in the Thames River near Gravesend (England). It is somewhat hazy and late in the day. Aboard are four others: the Director of Companies (the captain), the Lawyer (""the best of old fellows""), the Accountant (toying architecturally with dominoes), and Marlow (",<PIL.Image.Image image mode=RGB size=512x512 at 0x790190137190>
Heretics of Dune,Frank Herbert,1984,"['Science Fiction', 'Speculative fiction', 'Fiction']"," Much has changed in the millennium and a half since the death of the God Emperor. Sandworms have reappeared on Arrakis (now called Rakis) and renewed the flow of the all-important spice melange to the galaxy. With Leto's death, a hugely complex economic system built on spice collapsed, resulting in trillions leaving known space in a great Scattering. A new civilization has risen, with three dominant powers: the Ixians, whose no-ships are",<PIL.Image.Image image mode=RGB size=512x512 at 0x790190137490>
Adventures of Huckleberry Finn,Mark Twain,1884,"['Satire', 'Childrens literature', 'Fiction', 'Adventure novel', 'Humour']"," The story begins in fictional St. Petersburg, Missouri, on the shore of the Mississippi River, sometime between 1835 (when the first steamboat sailed down the Mississippi) and 1845. Two young boys, Thomas ""Tom"" Sawyer and Huckleberry Finn, have each come into a considerable sum of money as a result of their earlier adventures (The Adventures of Tom Sawyer). Huck has been placed under the guardianship of the Widow Douglas, who, together with her sister, Miss",<PIL.Image.Image image mode=RGB size=512x512 at 0x7901901371F0>
Ivanhoe,Walter Scott,1819,"['Historical fiction', 'Fiction', 'Historical novel']"," Wilfred of Ivanhoe is disinherited by his father Cedric of Rotherwood for supporting the Norman King Richard and for falling in love with the Lady Rowena, Cedric's ward and a descendant of the Saxon Kings of England. Cedric had planned to marry her to the powerful Lord Aethelstane, pretender to the Crown of England through his descent from the last Saxon King, Harold Godwinson, thus cementing a Saxon political",<PIL.Image.Image image mode=RGB size=512x512 at 0x7901901375B0>
Johnny Got His Gun,Dalton Trumbo,1939,"['Fiction', 'Novel']"," Joe Bonham, a young soldier serving in World War I, awakens in a hospital bed after being caught in the blast of an exploding artillery shell. He gradually realizes that he has lost his arms, legs, and all of his face (including his eyes, ears, teeth, and tongue), but that his mind functions perfectly, leaving him a prisoner in his own body. Joe attempts suicide by suffocation, but finds that he had been given a tracheotomy which he can",<PIL.Image.Image image mode=RGB size=512x512 at 0x790190137340>
Icehenge,Kim Stanley Robinson,1984,"['Science Fiction', 'Speculative fiction']","Stonehenge is part mystery, part psychological drama, and is set in three distinct time periods. The story shifts from a failed Martian political revolution of 2248, to an expedition to explore a mysterious monument on the north pole of Pluto three centuries later, and ultimately to a space station orbiting Saturn, home to a reclusive and wealthy woman who may hold the key to solving a mystery spanning centuries.",<PIL.Image.Image image mode=RGB size=512x512 at 0x790190137AC0>
Microserfs,Douglas Coupland,1995-06,"['Epistolary novel', 'Fiction']"," The plot of the novel has two distinct movements: the events at Microsoft and in Redmond, Washington, and the movement to Silicon Valley and the ""Oop!"" project. The novel begins in Redmond as the characters are working on different projects at Microsoft's main campus. Life at the campus feels like a feudalistic society, with Bill Gates as the lord, and his employees the serfs. The majority of the main characters—Daniel (the narrator), Susan, Todd, Bug, Michael",<PIL.Image.Image image mode=RGB size=512x512 at 0x790190137250>
"Moby-Dick; or, The Whale",Herman Melville,1851-10-18,"['Sea story', 'Fiction', 'Adventure novel']"," ""Moby-Dick"" begins with the line ""Call me Ishmael."" According to the American Book Review's rating in 2011, this is one of the most recognizable opening lines in Western literature. The narrator, an observant young man setting out from Manhattan, has experience in the merchant marine but has recently decided his next voyage will be on a whaling ship. On a cold, gloomy night in December, he arrives at the Spouter-Inn in New Bedford,",<PIL.Image.Image image mode=RGB size=512x512 at 0x79018A744CA0>
Moonfleet,J. Meade Falkner,1898,['Adventure novel']," In 1757, Moonfleet is a small village near the sea in the south of England. It gets its name from a formerly prominent local family, the Mohunes, whose coat of arms included a symbol shaped like a capital 'Y'. John Trenchard is an orphan who lives with his aunt, Miss Arnold. Other notable residents are the sexton Mr Ratsey who is friendly to John, Parson Glennie, the local clergyman who also teaches in the village school,",<PIL.Image.Image image mode=RGB size=512x512 at 0x79018BAAF0D0>
Neuromancer,William Gibson,1984-07-01,"['Cyberpunk', 'Science Fiction', 'Speculative fiction', 'Dystopia']","Henry Dorsett Case is a low-level hustler in the dystopian underworld of Chiba City, Japan. Once a talented computer hacker, Case was caught stealing from his employer. As punishment for his theft, Case's central nervous system was damaged with a mycotoxin, leaving him unable to use keyboard skills to access the global computer network in cyberspace, a virtual reality dataspace called the ""Matrix"". Unemployable, addicted to drugs, and suicidal, Case",<PIL.Image.Image image mode=RGB size=512x512 at 0x79018BAAFC40>
Cryptonomicon,Neal Stephenson,1999,"['Fiction', 'Novel']","The action takes place in two periods: the Second World War and the late 1990s, during the Internet boom. In 1942, Lawrence Pritchard Waterhouse, a young U.S. Navy code breaker and mathematical genius, is assigned to the newly formed joint British and American Detachment 2702. This ultra-secret unit's role is to hide the fact that Allied Intelligence has cracked the German Enigma code. The detachment stages events, often behind enemy lines, that provide alternative",<PIL.Image.Image image mode=RGB size=512x512 at 0x79018BAAFF70>
No Logo,Naomi Klein,2000-01,"['Business', 'Nonfiction', 'Economics', 'Anthropology', 'Sociology', 'Fiction']"," The book comprises four sections: ""No Space"", ""No Choice"", ""Nologo"", and ""No Logo"". The first three deal with the negative effects of brand-oriented corporate activity, while the fourth discusses various methods people have taken in order to fight back. The book begins by tracing the history of brands. Klein argues that there has been a shift in the usage of branding. There is an actual clothing brand NOLOGO which has existed since the late 1980s and can",<PIL.Image.Image image mode=RGB size=512x512 at 0x79018BAAFCA0>
The Three Stigmata of Palmer Eldritch,Philip K. Dick,1965,"['Science Fiction', 'Speculative fiction', 'Fiction', 'Dystopia']"," The story begins in a future world where global warming has resulted in global temperatures so high that in most of the world it is unsafe to be outside without special cooling gear during daylight hours. In a desperate bid to preserve humanity and ease population burdens on Earth, the UN has initiated a ""draft"" for colonizing the nearby planets, where conditions are so horrific and primitive that the unwilling colonists have fallen prey to a form of escapism involving the use of an illegal drug (CAN-",<PIL.Image.Image image mode=RGB size=512x512 at 0x79018BAAFD00>
Time out of Joint,Philip K. Dick,1959,"['Science Fiction', 'Speculative fiction', 'Fiction', 'Dystopia']","As the novel opens, its protagonist Ragle Gumm believes that he lives in the year 1959 in a quiet American suburb. His unusual profession consists of repeatedly winning the cash prize in a local newspaper competition called, ""Where Will The Little Green Man Be Next?"". Gumm's 1959 has some differences from ours: the Tucker car is in production, AM/FM radios are scarce to non-existent and Marilyn Monroe is a complete unknown. As the novel begins, strange things begin to happen",<PIL.Image.Image image mode=RGB size=512x512 at 0x79018BAAF490>
A Scanner Darkly,Philip K. Dick,1977,"['Science Fiction', 'Psychological novel', 'Speculative fiction', 'Roman u00e0 clef', 'Fiction', 'Dystopia']"," The protagonist is Bob Arctor, member of a household of drug-users, who is also living a parallel life as Agent Fred, an undercover police agent assigned to spy on Arctor's household. Arctor/Fred shields his true identity from those in the drug subculture, and from the police themselves. (The requirement that narcotics agents remain anonymous, to avoid collusion and other forms of corruption, becomes a critical plot point late in the book.) While supposedly only posing as a drug",<PIL.Image.Image image mode=RGB size=512x512 at 0x79018BAAF0A0>
Radio Free Albemuth,Philip K. Dick,1985,"['Science Fiction', 'Speculative fiction', 'Dystopia']"," In this alternate history the corrupt US President Ferris F. Fremont (FFF for 666, ‘F’ being the 6th letter in the alphabet, see Number of the Beast) becomes Chief Executive in the late Nineteen-Sixties following Lyndon Johnson's administration. The character is best described as an amalgam of Joseph McCarthy and Richard Nixon, who abrogates civil liberties and human rights through positing a conspiracy theory centered around a (presumably) fictitious subversive",<PIL.Image.Image image mode=RGB size=512x512 at 0x79018BAAF370>
Pride and Prejudice,Jane Austen,1813-01-28,"['Satire', 'Fiction', 'Romance novel', 'Novel']"," The narrative opens with Mr Bingley, a wealthy, charming and social young bachelor, moving into Netherfield Park in the neighbourhood of the Bennet family. Mr Bingly is soon well received, while his friend Mr Darcy makes a less favorable first impression by appearing proud and condescending at a ball that they attend (this is partly explained in that he detests dancing and is not much for light conversation). Mr Bingleys singles out Elizabeth's elder sister, Jane, for particular attention",<PIL.Image.Image image mode=RGB size=512x512 at 0x79018BAAEA40>
Rosencrantz & Guildenstern Are Dead,Tom Stoppard,1967,['Absurdist fiction']," The play opens with Rosencrantz and Guildenstern betting on coin flips. Rosencrants, who bets heads each time, wins ninety-two flips in a row. The extreme unlikeliness of this event according to the laws of probability leads Guildenstan to suggest that they may be ""within un-, sub- or supernatural forces"". The reader learns why they are where they are: the King has sent for them. Guildenstall theorizes on the nature of reality",<PIL.Image.Image image mode=RGB size=512x512 at 0x79018BAAF850>
Ringworld,Larry Niven,1970,"['Science Fiction', 'Speculative fiction', 'Fiction', 'Novel']"," The novel opens in 2850. Louis Gridley Wu is celebrating his 200th birthday. Despite his age, Louis is in perfect physical condition but is bored. He has experienced life thoroughly, and is thinking of taking a trip to and beyond the reaches of Known Space, all alone in a spaceship for a year or more. He is confronted by Nessus, a Pierson's Puppeteer, and offered one of three open positions on an exploration voyage beyond Known Space. Speaker-",<PIL.Image.Image image mode=RGB size=512x512 at 0x79018BAAD810>
Rendezvous with Rama,Arthur C. Clarke,1972,"['Hard science fiction', 'Science Fiction', 'Speculative fiction']"," After a major disaster caused by a meteorite falling in Eastern Italy in 2077, the government of Earth sets up the Spaceguard system as an early warning of arrivals from deep space. The ""Rama"" of the title is an alien star ship, initially mistaken for an asteroid categorised as ""31/439"". It is detected by astronomers in the year 2130 while still outside the orbit of Jupiter. The object's speed (100&nbsp;000&nfty;",<PIL.Image.Image image mode=RGB size=512x512 at 0x79018BAAE110>
Sense and Sensibility,Jane Austen,1811,"['Childrens literature', 'Fiction', 'Romance novel', 'Novel']"," When Mr. Dashwood dies, his estate, Norland Park, passes directly to his only son John, the child of his first wife. His second wife, Mrs. Dashwoods, and their daughters, Elinor, Marianne and Margaret, are left only a small income. On his deathbed, Mr.Dashwood extracts a promise from his son, that he will take care of his half-sisters; however, John's selfish and greedy wife, Fanny",<PIL.Image.Image image mode=RGB size=512x512 at 0x79018BAADAB0>
Speaker for the Dead,Orson Scott Card,1986,"['Science Fiction', 'Speculative fiction', 'Fantasy', 'Fiction']"," On Novinha's request for a Speaker, Andrew Wiggin leaves for Lusitania, a colony turned into a virtual prison, with its expansion severely limited and its whole existence devoted to the work of xenologers who study the Pequeninos, the first sentient beings found since the destruction of Formics. Lusitsania itself is remarkably lacking in biodiversity, featuring thousands of unfilled ecological niches. The other outstanding feature of Lusitaania is the",<PIL.Image.Image image mode=RGB size=512x512 at 0x79018BAAD960>
Starship Troopers,Robert A. Heinlein,1959-12,"['Science Fiction', 'Speculative fiction', 'Fiction']"," Starship Troopers takes place in the midst of an interstellar war between the Terran Federation of Earth and the Arachnids (referred to as ""The Bugs"") of Klendathu. It is narrated as a series of flashbacks by Juan Rico, and is one of only a few Heinlein novels set out in this fashion. The novel opens with Rico aboard the corvette Rodger Young (named after Medal of Honor winner Rodger Wilton Young), serving with the platoon known",<PIL.Image.Image image mode=RGB size=512x512 at 0x79018BAAD9C0>
Sir Gawain and the Green Knight,Pearl Poet,2007,['Poetry']," In Camelot on New Year's Day King Arthur's court is exchanging gifts and waiting for the feasting to start when the king asks first to see or hear of an exciting adventure. At this a gigantic figure, entirely green in appearance and riding a green horse, rides unexpectedly into the hall. He wears no armour but bears an axe in one hand and a holly bough in the other. Refusing to fight anyone there on the grounds they are all too weak to take him",<PIL.Image.Image image mode=RGB size=512x512 at 0x79018BAAEA70>
Stuart Little,E. B. White,1945,"['Speculative fiction', 'Childrens literature', 'Fiction']","The story is episodic. First we learn of Stuart's birth to a family in New York City and how the family adapts, socially and structurally, to having such a small son. He has an adventure in which he gets caught in a window-blind while exercising, and Snowbell, the family cat, places Stuart's hat and cane outside a mouse hole, panicking the family. He is accidentally released by his brother George. Then two chapters describe Stuart's participation in",<PIL.Image.Image image mode=RGB size=512x512 at 0x79018BAAE230>
The Doors of Perception,Aldous Huxley,1954,"['Philosophy', 'Nonfiction']"," After a brief overview of research into mescaline, Huxley recounts that he was given 4/10 of a gram at 11:00 am one day in May 1953. Huxly writes that he hoped to gain insight into extraordinary states of mind and expected to see brightly colored visionary landscapes. When he only sees lights and shapes, he puts this down to being a bad visualiser, however, he experiences a great change in his perception of the external world. By 12:",<PIL.Image.Image image mode=RGB size=512x512 at 0x79018BAAD990>
The Time Machine,H. G. Wells,1895,"['Science Fiction', 'Childrens literature', 'Speculative fiction', 'Romance novel', 'Fantasy', 'Fiction', 'Time travel', 'Dystopia', 'Scientific romance']"," The book's protagonist is an English scientist and gentleman inventor living in Richmond, Surrey, identified by a narrator simply as the Time Traveller. The narrator recounts the Traveller's lecture to his weekly dinner guests that time is simply a fourth dimension, and his demonstration of a tabletop model machine for travelling through it. He reveals that he has built a machine capable of carrying a person, and returns at dinner the following week to recount a remarkable tale, becoming the new narrator. In the new",<PIL.Image.Image image mode=RGB size=512x512 at 0x79018BAAE920>
The Shockwave Rider,John Brunner,1975,"['Science Fiction', 'Speculative fiction', 'Novel']"," The novel is set in the weeks following Nick's recapture after several years on the run, alternating between moral arguments with his interrogator, who is trying to discover why the program's star pupil had absconded, and flashbacks of his career. The interrogator is Paul Freeman, a graduate of another secret installation known as ""Electric Skillet"", which focuses on weapons and defense strategy. Although he initially felt at home at Tarnover, Nick eventually becomes aware of experiments in",<PIL.Image.Image image mode=RGB size=512x512 at 0x79018BAADA50>
